Issue Type,Summary,Epic Name,Epic Link,Description,Priority,Labels,Fix Version,Sprint,Story Points,Issue Id,Parent Id
Epic,[L1] Platform Foundation & Infrastructure,[L1] Platform Foundation & Infrastructure,,"Platform Foundation & Infrastructure. Level 1 launch-core epic for Prime Wrist BD. 8 tasks, 28 story points.",Highest,level-1 launch nextjs,1.0 - Launch,Sprint 1 - Foundation,,PWBD-L1-E01,
Task,PWBD-L1-E01-01 | Repository & Toolchain Setup,,[L1] Platform Foundation & Infrastructure,"Monorepo, TypeScript strict config, ESLint/Prettier, commit hooks, branch protection.",Highest,level-1 launch nextjs,1.0 - Launch,Sprint 1 - Foundation,3,PWBD-L1-E01-01,PWBD-L1-E01
Task,PWBD-L1-E01-02 | Next.js Application Scaffold,,[L1] Platform Foundation & Infrastructure,"App Router project, routing shell, layout primitives, environment config, image loader.",Highest,level-1 launch nextjs,1.0 - Launch,Sprint 1 - Foundation,3,PWBD-L1-E01-02,PWBD-L1-E01
Task,PWBD-L1-E01-03 | Database Schema & ORM,,[L1] Platform Foundation & Infrastructure,"Postgres + Prisma. Core entities: user, product, variant, inventory, cart, order, payment, shipment.",Highest,level-1 launch nextjs,1.0 - Launch,Sprint 1 - Foundation,5,PWBD-L1-E01-03,PWBD-L1-E01
Task,PWBD-L1-E01-04 | Secrets & Environment Management,,[L1] Platform Foundation & Infrastructure,Separate dev/staging/prod secrets. No gateway keys in the repo. Rotation procedure documented.,Highest,level-1 launch nextjs,1.0 - Launch,Sprint 1 - Foundation,2,PWBD-L1-E01-04,PWBD-L1-E01
Task,PWBD-L1-E01-05 | CI/CD Pipeline & Staging Environment,,[L1] Platform Foundation & Infrastructure,"Automated build, typecheck, test, and preview deploys. Staging mirrors prod config.",Highest,level-1 launch nextjs,1.0 - Launch,Sprint 1 - Foundation,5,PWBD-L1-E01-05,PWBD-L1-E01
Task,"PWBD-L1-E01-06 | Hosting, DNS & CDN Provisioning",,[L1] Platform Foundation & Infrastructure,"Production hosting, primeswristbd domain, TLS certificate, CDN in front of static assets.",Highest,level-1 launch nextjs,1.0 - Launch,Sprint 1 - Foundation,3,PWBD-L1-E01-06,PWBD-L1-E01
Task,PWBD-L1-E01-07 | Error & Uptime Monitoring,,[L1] Platform Foundation & Infrastructure,"Sentry for server + client exceptions, uptime check on the checkout route specifically.",Highest,level-1 launch nextjs,1.0 - Launch,Sprint 1 - Foundation,2,PWBD-L1-E01-07,PWBD-L1-E01
Task,PWBD-L1-E01-08 | Design System Baseline,,[L1] Platform Foundation & Infrastructure,"Typography scale, colour tokens, spacing, button/input/card primitives. Prevents Level 2 rework.",Highest,level-1 launch nextjs,1.0 - Launch,Sprint 1 - Foundation,5,PWBD-L1-E01-08,PWBD-L1-E01
Epic,[L1] Identity & Access,[L1] Identity & Access,,"Identity & Access. Level 1 launch-core epic for Prime Wrist BD. 5 tasks, 19 story points.",Highest,level-1 launch nextjs,1.0 - Launch,Sprint 2 - Identity & Catalog Model,,PWBD-L1-E02,
Task,PWBD-L1-E02-01 | Email & Password Authentication,,[L1] Identity & Access,"Signup, login, hashed credentials, session handling via secure httpOnly cookies.",Highest,level-1 launch nextjs,1.0 - Launch,Sprint 2 - Identity & Catalog Model,5,PWBD-L1-E02-01,PWBD-L1-E02
Task,PWBD-L1-E02-02 | Phone Number + OTP Login,,[L1] Identity & Access,SMS OTP via a BD-capable provider. Phone is the primary identity for most Bangladeshi buyers.,Highest,level-1 launch nextjs,1.0 - Launch,Sprint 2 - Identity & Catalog Model,5,PWBD-L1-E02-02,PWBD-L1-E02
Task,PWBD-L1-E02-03 | Password Recovery,,[L1] Identity & Access,"Tokenised reset link with expiry, plus OTP fallback for phone-first accounts.",Highest,level-1 launch nextjs,1.0 - Launch,Sprint 2 - Identity & Catalog Model,3,PWBD-L1-E02-03,PWBD-L1-E02
Task,PWBD-L1-E02-04 | Guest Checkout,,[L1] Identity & Access,"Purchase without account creation, with optional post-purchase account claim.",Highest,level-1 launch nextjs,1.0 - Launch,Sprint 2 - Identity & Catalog Model,3,PWBD-L1-E02-04,PWBD-L1-E02
Task,PWBD-L1-E02-05 | Account Dashboard,,[L1] Identity & Access,"Profile, saved addresses, order history entry point.",Highest,level-1 launch nextjs,1.0 - Launch,Sprint 2 - Identity & Catalog Model,3,PWBD-L1-E02-05,PWBD-L1-E02
Epic,[L1] Watch Catalog Data Model,[L1] Watch Catalog Data Model,,"Watch Catalog Data Model. Level 1 launch-core epic for Prime Wrist BD. 6 tasks, 24 story points.",Highest,level-1 launch nextjs,1.0 - Launch,Sprint 2 - Identity & Catalog Model,,PWBD-L1-E03,
Task,PWBD-L1-E03-01 | Product & Variant Schema,,[L1] Watch Catalog Data Model,"Product with variants on strap/dial/case where applicable; SKU, price, compare-at price, stock.",Highest,level-1 launch nextjs,1.0 - Launch,Sprint 2 - Identity & Catalog Model,5,PWBD-L1-E03-01,PWBD-L1-E03
